RANGE                                  SIZE  STATE REMOVABLE     BLOCK
0x0000000000000000-0x0000000007ffffff  128M online        no         0
0x0000000008000000-0x0000000017ffffff  256M online       yes       1-2
0x0000000018000000-0x000000001fffffff  128M online        no         3
0x0000000020000000-0x000000002fffffff  256M online       yes       4-5
0x0000000030000000-0x000000003fffffff  256M online        no       6-7
0x0000000040000000-0x0000000047ffffff  128M online       yes         8
0x0000000048000000-0x0000000077ffffff  768M online        no      9-14
0x0000000100000000-0x0000000107ffffff  128M online        no        32
0x0000000108000000-0x000000014fffffff  1.1G online       yes     33-41
0x0000000150000000-0x0000000157ffffff  128M online        no        42
0x0000000158000000-0x000000015fffffff  128M online       yes        43
0x0000000160000000-0x0000000167ffffff  128M online        no        44
0x0000000168000000-0x0000000187ffffff  512M online       yes     45-48
0x0000000188000000-0x000000018fffffff  128M online        no        49
0x0000000190000000-0x0000000197ffffff  128M online       yes        50
0x0000000198000000-0x00000001a7ffffff  256M online        no     51-52
0x00000001a8000000-0x00000001afffffff  128M online       yes        53
0x00000001b0000000-0x00000001bfffffff  256M online        no     54-55
0x00000001c0000000-0x00000001cfffffff  256M online       yes     56-57
0x00000001d0000000-0x00000001dfffffff  256M online        no     58-59
0x00000001e0000000-0x00000001efffffff  256M online       yes     60-61
0x00000001f0000000-0x00000001f7ffffff  128M online        no        62
0x00000001f8000000-0x0000000207ffffff  256M online       yes     63-64
0x0000000208000000-0x000000020fffffff  128M online        no        65
0x0000000210000000-0x000000021fffffff  256M online       yes     66-67
0x0000000220000000-0x0000000227ffffff  128M online        no        68
0x0000000228000000-0x000000022fffffff  128M online       yes        69
0x0000000230000000-0x0000000237ffffff  128M online        no        70
0x0000000238000000-0x000000023fffffff  128M online       yes        71
0x0000000240000000-0x0000000247ffffff  128M online        no        72
0x0000000248000000-0x0000000257ffffff  256M online       yes     73-74
0x0000000258000000-0x0000000267ffffff  256M online        no     75-76
0x0000000268000000-0x000000027fffffff  384M online       yes     77-79
0x0000000280000000-0x0000000287ffffff  128M online        no        80
0x0000000288000000-0x0000000297ffffff  256M online       yes     81-82
0x0000000298000000-0x000000029fffffff  128M online        no        83
0x00000002a0000000-0x00000002afffffff  256M online       yes     84-85
0x00000002b0000000-0x00000002b7ffffff  128M online        no        86
0x00000002b8000000-0x00000002dfffffff  640M online       yes     87-91
0x00000002e0000000-0x00000002e7ffffff  128M online        no        92
0x00000002e8000000-0x00000002f7ffffff  256M online       yes     93-94
0x00000002f8000000-0x00000002ffffffff  128M online        no        95
0x0000000300000000-0x000000034fffffff  1.3G online       yes    96-105
0x0000000350000000-0x0000000357ffffff  128M online        no       106
0x0000000358000000-0x000000035fffffff  128M online       yes       107
0x0000000360000000-0x0000000367ffffff  128M online        no       108
0x0000000368000000-0x000000038fffffff  640M online       yes   109-113
0x0000000390000000-0x0000000397ffffff  128M online        no       114
0x0000000398000000-0x00000003afffffff  384M online       yes   115-117
0x00000003b0000000-0x00000003b7ffffff  128M online        no       118
0x00000003b8000000-0x00000003e7ffffff  768M online       yes   119-124
0x00000003e8000000-0x00000003efffffff  128M online        no       125
0x00000003f0000000-0x0000000407ffffff  384M online       yes   126-128
0x0000000408000000-0x0000000417ffffff  256M online        no   129-130
0x0000000418000000-0x0000000427ffffff  256M online       yes   131-132
0x0000000428000000-0x000000042fffffff  128M online        no       133
0x0000000430000000-0x000000044fffffff  512M online       yes   134-137
0x0000000450000000-0x0000000457ffffff  128M online        no       138
0x0000000458000000-0x000000047fffffff  640M online       yes   139-143
0x0000000480000000-0x0000000497ffffff  384M online        no   144-146
0x0000000498000000-0x000000049fffffff  128M online       yes       147
0x00000004a0000000-0x00000004b7ffffff  384M online        no   148-150
0x00000004b8000000-0x00000004c7ffffff  256M online       yes   151-152
0x00000004c8000000-0x00000004dfffffff  384M online        no   153-155
0x00000004e0000000-0x00000004f7ffffff  384M online       yes   156-158
0x00000004f8000000-0x0000000507ffffff  256M online        no   159-160
0x0000000508000000-0x0000000517ffffff  256M online       yes   161-162
0x0000000518000000-0x000000052fffffff  384M online        no   163-165
0x0000000530000000-0x0000000537ffffff  128M online       yes       166
0x0000000538000000-0x000000053fffffff  128M online        no       167
0x0000000540000000-0x0000000557ffffff  384M online       yes   168-170
0x0000000558000000-0x000000057fffffff  640M online        no   171-175
0x0000000580000000-0x0000000587ffffff  128M online       yes       176
0x0000000588000000-0x00000005b7ffffff  768M online        no   177-182
0x00000005b8000000-0x00000005d7ffffff  512M online       yes   183-186
0x00000005d8000000-0x00000005e7ffffff  256M online        no   187-188
0x00000005e8000000-0x00000005f7ffffff  256M online       yes   189-190
0x00000005f8000000-0x0000000607ffffff  256M online        no   191-192
0x0000000608000000-0x000000060fffffff  128M online       yes       193
0x0000000610000000-0x0000000627ffffff  384M online        no   194-196
0x0000000628000000-0x0000000637ffffff  256M online       yes   197-198
0x0000000638000000-0x000000063fffffff  128M online        no       199
0x0000000640000000-0x0000000647ffffff  128M online       yes       200
0x0000000648000000-0x000000066fffffff  640M online        no   201-205
0x0000000670000000-0x0000000677ffffff  128M online       yes       206
0x0000000678000000-0x000000069fffffff  640M online        no   207-211
0x00000006a0000000-0x00000006afffffff  256M online       yes   212-213
0x00000006b0000000-0x0000000757ffffff  2.6G online        no   214-234
0x0000000758000000-0x000000075fffffff  128M online       yes       235
0x0000000760000000-0x0000000767ffffff  128M online        no       236
